Function Code,Function Description,Function,Category Code,Category Description,Category,Subcategory Code,Subcategory Description
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk",Inventory and Mapping,ID.IM-P1,Systems/products/services that process data are inventoried
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk",Inventory and Mapping,ID.IM-P2,Owners or operators and their roles are inventoried
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk",Inventory and Mapping,ID.IM-P3,Categories of individuals whose data are being processed are inventoried
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk",Inventory and Mapping,ID.IM-P4,Data actions of the systems/products/services are inventoried
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk",Inventory and Mapping,ID.IM-P5,The purposes for the data actions are inventoried
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk",Inventory and Mapping,ID.IM-P6,Data elements within the data actions are inventoried
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk",Inventory and Mapping,ID.IM-P7,The data processing environment is identified
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk",Inventory and Mapping,ID.IM-P8,Data processing is mapped
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.BE-P,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized",Business Environment,ID.BE-P1,The organization’s role(s) in the data processing ecosystem are identified and communicated
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.BE-P,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized",Business Environment,ID.BE-P2,"Priorities for organizational mission, objectives, and activities are established and communicated"
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.BE-P,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized",Business Environment,ID.BE-P3,Systems/products/services that support organizational priorities are identified and key requirements communicated
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.RA-P,The organization understands the privacy risks to individuals,Risk Assessment,ID.RA-P1,Contextual factors related to data actions are identified
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.RA-P,The organization understands the privacy risks to individuals,Risk Assessment,ID.RA-P2,Data analytic inputs and outputs are identified and evaluated for bias
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.RA-P,The organization understands the privacy risks to individuals,Risk Assessment,ID.RA-P3,Potential problematic data actions and associated problems are identified
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.RA-P,The organization understands the privacy risks to individuals,Risk Assessment,ID.RA-P4,"Problematic data actions, likelihoods, and impacts are used to determine and prioritize risk"
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.RA-P,The organization understands the privacy risks to individuals,Risk Assessment,ID.RA-P5,"Risk responses are identified, prioritized, and implemented"
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.DE-P,"The organization’s priorities, risk tolerances, and assumptions are used to support risk decisions with third parties",Data Processing Ecosystem Risk Management,ID.DE-P1,"Data processing ecosystem risk management policies, processes, and procedures are identified and established"
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.DE-P,"The organization’s priorities, risk tolerances, and assumptions are used to support risk decisions with third parties",Data Processing Ecosystem Risk Management,ID.DE-P2,"Data processing ecosystem parties are identified, prioritized, and assessed"
ID-P,Develop the organizational understanding to manage privacy risk for individuals arising from data processing,IDENTIFY-P,ID.DE-P,"The organization’s priorities, risk tolerances, and assumptions are used to support risk decisions with third parties",Data Processing Ecosystem Risk Management,ID.DE-P3,Contracts with data processing ecosystem parties are used to implement appropriate measures
